Mm ^nnu++++=Mm,
shirt ^nn++++=shirt
brings ^vbz++++=brings
out ^rb+phrv+++=out
the ^ati++++=the
blue ^nn++++=blue
in ^in++++=in
your ^pp$+pp2+++=your
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
go ^vb++++=go
check ^nn++++=check
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
the ^ati++++=the
university ^nn+nom+++=university
has ^vbz+hvz+vrb++=has
any ^dti++++=any
helium ^nn++++=helium
in ^in++++=in
reserve ^nn++++=reserve.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
Barry ^np++++=Barry,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
re ^in++++=re
in ^in++++=in
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
need ^nn++++=need
liquid ^jj+atrb+++=liquid
helium ^nn++++=helium,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
the ^ati++++=the
department ^nn+nom+++=department
have ^vb+hv+vrb++=have
any ^dti++++=any
we ^pp1a+pp1+++=we
can ^md+pos+++=can
use ^vb++++=use?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Barry ^np++++=Barry,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
s ^zz++++=s
a ^at++++=a
Swedish ^jj+atrb+++=Swedish
team ^nn++++=team
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
run ^vbi++++=run
our ^pp$+pp1+++=our
experiment ^nn+nom+++=experiment
before ^in++++=before
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
t ^zz++++=t
you ^pp2+pp2+++=you
spare ^vb++++=spare
any ^dti++++=any?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
d ^zz++++=d
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go
to ^in++++=to
every ^at++++=every
Party ^nn++++=Party
City ^nn++++=City
in ^in++++=in
California ^np++++=California.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
is ^vbz+bez+aux++=is
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
does ^vbz+doz+vrb++=does
he ^pp3a+pp3+++=he
get ^vb++++=get
the ^ati++++=the
helium ^nn++++=helium?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
hey ^uh++++=hey.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
heard ^vbd+vprv++xvbn+=heard
back ^jjb++++=back
from ^in++++=from
the ^ati++++=the
liquid ^jj+atrb+++=liquid
helium ^nn++++=helium
guy ^np++++=guy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
got ^vbd+++xvbn+=got
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
need ^nn++++=need
and ^cc++++=and
can ^md+pos+++=can
meet ^vb++++=meet
us ^pp1o+pp1+++=us
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
restocking ^vwbg+++xvbg+=restocking
the ^ati++++=the
cereal ^nn++++=cereal
shelves ^nns++++=shelves.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
handed ^vbd+++xvbnx+=handed
you ^pp2+pp2+++=you
the ^ati++++=the
box ^nn++++=box
directly ^rb++++=directly
and ^cc++++=and
called ^vwbn+++xvbn+=called
you ^pp2+pp2+++=you
Stretch ^nn++++=Stretch.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
want ^vb++++=want
liquid ^jj+atrb+++=liquid
helium ^nn++++=helium
or ^cc++++=or
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
m ^zz++++=m
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
him ^pp3o+pp3+++=him
we ^pp1a+pp1+++=we
re ^in++++=re
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
re ^in++++=re
just ^rb+emph+++=just
bending ^nvbg+++xvbg+=bending
the ^ati++++=the
rules ^nns++++=rules
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
grant ^nn++++=grant
money ^nn++++=money
to ^to++++=to
do ^vbi++++=do
the ^ati++++=the
experiment ^nn+nom+++=experiment,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
re ^in++++=re
going ^md"++pmd"++=going
to ^md+prd+++=to
spend ^vb++++=spend
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
helium ^nn++++=helium
we ^pp1a+pp1+++=we
need ^nn++++=need.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
not ^xnot++not++=not
like ^vb++++=like
when ^wrb+who+++=when
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Goldfarb ^np++++=Goldfarb
claimed ^vbd+vpub+tht0+xvbn+=claimed
he ^pp3a+pp3+++=he
bought ^vbd+++xvbnx+=bought
an ^at++++=an
electron ^nn++++=electron
microscope ^nn++++=microscope
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
really ^rb+emph+splt++=really
just ^rb+emph+++=just
keeping ^vbg+++xvbg+=keeping
a ^at++++=a
Russian ^jj+atrb+++=Russian
girl ^nn++++=girl
in ^in++++=in
an ^at++++=an
apartment ^nn+nom+++=apartment
in ^in++++=in
Van ^&fw++++=Van
Nuys ^np+++??+=Nuys.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
doing ^vbg+++xvbg+=doing
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember?
? ^zz++++=EXTRAWORD
Don ^npt++++=Don
t ^zz++++=t
ask ^vb++++=ask
too ^rb++++=too
many ^ap++++=many
questions ^nns+nom+++=questions?
? ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
may ^md+pos+++=may
quote ^vb++++=quote
Einstein ^np++++=Einstein,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pursuit ^nn++++=pursuit
of ^in++++=of
science ^nn+nom+++=science
calls ^nns++++=calls
us ^pp1o+pp1+++=us
to ^to++++=to
ignore ^vbi++++=ignore
the ^ati++++=the
rules ^nns++++=rules
set ^vwbn+++xvbn+=set
by ^in++++=by
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Done ^xvbn+++xvbn+=Done.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
I ^pp1a+pp1+++=I
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
say ^vb+vpub+tht0++=say
your ^pp$+pp2+++=your
skin ^nn++++=skin
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
looked ^vprf+++xvbnx+=looked
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
must ^md+nec+++=must
be ^vb+be+vrb++=be
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
Leonard ^np++++=Leonard.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
friend ^nn++++=friend
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
right ^jj++++=right
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
ya ^pp2+pp2+++=ya
doing ^vbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
Skippy ^np+++??+=Skippy?
? ^zz++++=EXTRAWORD
Look ^vb++++=Look,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
trust ^vb++++=trust
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
re ^in++++=re
respected ^jj+atrb++xvbn+=respected
scientists ^nns+nom+++=scientists.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
friend ^nn++++=friend
does ^vbz+doz+aux++=does
make ^vb++++=make
a ^at++++=a
decent ^jj+atrb+++=decent
point ^nn++++=point
about ^in++++=about
the ^ati++++=the
money ^nn++++=money.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
feel ^vb+vprv+++=feel
comfortable ^jj++++=comfortable
just ^rb+emph+++=just
handing ^vbg+++xvbg+=handing
it ^pp3+it+++=it
over ^rb++++=over
up ^rp++++=up
front ^jjb++++=front.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
matters ^nns+nom+++=matters
if ^cs+cnd+++=if
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
stalemate ^nn+nom+++=stalemate
or ^cc++++=or
an ^at++++=an
impasse ^nn++++=impasse
or ^cc++++=or
a ^at++++=a
Mexican ^jj+atrb+++=Mexican
standoff ^nn+++??+=standoff.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
gonna ^md+prd+++0=gonna
do ^vb+do+vrb++=do
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
Afraid ^jj++++=Afraid
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
Skippy ^np+++??+=Skippy.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj+atrb+++=right,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
s ^zz++++=s
all ^abn++++=all
just ^rb+emph+++=just
calm ^nn++++=calm
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
wants ^vbz++++=wants
to ^to+vcmp+++=to
report ^vbi++++=report
anybody ^pn++++=anybody.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait,
, ^zz++++=EXTRAWORD
don ^npt++++=don
t ^zz++++=t
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
explain ^vb+vpub+++=explain.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
re ^in++++=re
physicists ^nns+nom+++=physicists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
re ^in++++=re
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
prove ^vbi+vprv+++=prove
a ^at++++=a
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
we ^pp1a+pp1+++=we
ve ^nn+++??+=ve
been ^vprf+ben+aux+xvbn+=been
working ^vbg+++xvbgx+=working
on ^in++++=on
for ^in++++=for
over ^in++++=over
a ^at++++=a
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
there ^rn+pl+++=there
s ^zz++++=s
this ^dt+dem+++=this
Swedish ^jj+atrb+++=Swedish
team ^nn++++=team
that ^tht+rel+subj++=that
read ^vb+vprv++xvbn+=read
our ^pp$+pp1+++=our
paper ^nn++++=paper
and ^cc++++=and
they ^pp3a+pp3+++=they
re ^in++++=re
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
beat ^vbi++++=beat
us ^pp1o+pp1+++=us
to ^in++++=to
our ^pp$+pp1+++=our
own ^ap++++=own
discovery ^nn+nom+++=discovery.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
really ^rb+emph+++=really
need ^vb++++=need
this ^dt+dem+++=this
helium ^nn++++=helium.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
s ^zz++++=s
the ^ati++++=the
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
actually ^rb+amp+++=actually
pretty ^rb++++=pretty
common ^jj++++=common
in ^in++++=in
our ^pp$+pp1+++=our
field ^nn++++=field.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
s ^zz++++=s
not ^xnot++not++=not
much ^rb++++=much
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
stop ^vb++++=stop
with ^in++++=with
that ^dt+pdem+++=that
already ^rb++++=already?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
tipping ^nn++++=tipping
his ^pp$+pp3+++=his
hat ^nn++++=hat
to ^in++++=to
the ^ati++++=the
cleaning ^jj+++xvbg+=cleaning
lady ^npt++++=lady
didn ^nn+++??+=didn
t ^zz++++=t
do ^vb+do+vrb++=do
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
just ^rb+emph+++=just
start ^vb++++=start
the ^ati++++=the
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
re ^in++++=re
not ^xnot++not++=not
getting ^xvbg+++xvbg+=getting
caught ^vbd+++xvbn+=caught.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dealer ^nn++++=dealer
doesn ^nn+++??+=doesn
t ^zz++++=t
care ^nn++++=care,
, ^zz++++=EXTRAWORD
Kripke ^np+++??+=Kripke
has ^vbz+hvz+vrb++=has
no ^at++++=no
authority ^nn+nom+++=authority
over ^rp++++=over
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
being ^xvbg+++xvbg+=being
related ^xvbn+++xvbn+=related
to ^in++++=to
a ^at++++=a
metal ^nn++++=metal
container ^nn+nom+++=container
would ^md+prd+++=would
explain ^vb+vpub+++=explain
a ^at++++=a
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
Help ^nn++++=Help
me ^pp1o+pp1+++=me
hook ^vb++++=hook
this ^dt+pdem+++=this
up ^rp++++=up.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
probably ^rb++++=probably
Usc ^np+++??+=USC
or ^cc++++=or
Ucla ^np+++??+=UCLA.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
not ^xnot++not++=not
jump ^vb++++=jump
to ^in++++=to
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
A ^at++++=A
lot ^nn++++=lot
of ^in++++=of
things ^nns++++=things
start ^nn++++=start
with ^in++++=with
U ^zz++++=U.
. ^zz++++=EXTRAWORD
Listen ^vb++++=Listen,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
do ^vb+do+vrb++=do
the ^ati++++=the
experiment ^nn+nom+++=experiment
as ^cs+sub+++=as
planned ^jj+++xvbn+=planned
and ^cc+phrs+++=and
beat ^jj+++xvbn+=beat
the ^ati++++=the
Swedish ^jj+atrb+++=Swedish
team ^nn++++=team
to ^in++++=to
the ^ati++++=the
punch ^nn++++=punch,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
we ^pp1a+pp1+++=we
can ^md+pos+++=can
kiss ^vb++++=kiss
our ^pp$+pp1+++=our
dreams ^nps++++=dreams
good ^jj++++=good-bye
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
to ^in++++=to
afraid ^jj++++=afraid
to ^to+jcmp+++=to
break ^vbi++++=break
a ^ap++++=a
few ^ap"++++=few
rules ^nns++++=rules.
. ^zz++++=EXTRAWORD
Ma ^npt++++=Ma
am ^vb+bem+aux++=am.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you
for ^in++++=for
coming ^xvbg+++xvbg+=coming
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
just ^rb+emph+++=just
changed ^vbd+++xvbn+=changed
our ^pp$+pp1+++=our
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
the ^ati++++=the
money ^nn++++=money.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
just ^rb+emph+++=just
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
with ^in++++=with
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wants ^vbz++++=wants
more ^rbr++++=more
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+aux++=Is
Ernest ^np++++=Ernest
Goes ^vbz++++=Goes
to ^in++++=to
Jail ^nn++++=Jail
the ^ati++++=the
only ^ap+down+++=only
prison ^nn++++=prison
movie ^nn++++=movie
you ^pp2+pp2+++=you
ve ^vb+++??+=ve
seen ^vbd+vprv++xvbn+=seen?
? ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Barry ^np++++=Barry.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
give ^vb++++=give
us ^pp1o+pp1+++=us
a ^at++++=a
minute ^nn++++=minute?
? ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
neither ^rb+cnj+neg++=neither,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
other ^ap++++=other
choice ^nn++++=choice
do ^vb+do+aux++=do
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promise ^nn++++=promise
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
says ^vbz+vpub+++=says
right ^nn++++=right
here ^rn+pl+++=here
on ^in++++=on
Wikipedia ^np+++??+=Wikipedia.
. ^zz++++=EXTRAWORD
A ^at++++=A
Mexican ^jj+atrb+++=Mexican
standoff ^nn+++??+=standoff
is ^vbz+bez+vrb++=is
a ^at++++=a
confrontation ^nn+nom+++=confrontation
between ^in++++=between
at ^rb++++=at
least ^rb"++++=least
three ^cd++++=three
parties ^nns++++=parties.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
about ^in++++=about
this ^dt+dem+++=this
study ^nn++++=study
that ^tht+rel+subj++=that
found ^vbd+vprv++xvbn+=found
people ^nns++++=people
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
cool ^vb++++=cool
and ^cc++++=and
popular ^jj++++=popular
at ^in++++=at
13 ^cd++++=13
have ^vb+hv+vrb++=have
problems ^nns++++=problems
succeeding ^vwbg+++xvbg+=succeeding
later ^rbr+tm+++=later
in ^in++++=in
life ^nn++++=life?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
tell ^vb++++=tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
woke ^vbd+++xvbn+=woke
up ^rp++++=up
in ^in++++=in
bed ^nn++++=bed
with ^in++++=with
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he
writing ^nvbg+++xvbg+=writing
to ^in++++=to
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
thought ^vbd+++xvbn+=thought
of ^in++++=of
Spockumentary ^np+nom++??+=Spockumentary.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
long ^rb++++=long
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
known ^vbd+vprv++xvbn+=known
Adam ^np++++=Adam?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
getting ^vbg+++xvbg+=getting
him ^pp3o+pp3+++=him
back ^jjb++++=back
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
brother ^nn++++=brother
was ^vbd+bedz+vrb++=was
mean ^vb+pred+++=mean
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
did ^vbd+dod+vrb++=did
we ^pp1a+pp1+++=we
get ^vb++++=get
a ^at++++=a
wall ^nn++++=wall
safe ^jj++++=safe?
? ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
did ^vbd+dod+vrb++=did
we ^pp1a+pp1+++=we
get ^vb++++=get
a ^at++++=a
floor ^nn++++=floor
safe ^jj++++=safe?
? ^zz++++=EXTRAWORD
There ^rn+pl+++=There
s ^zz++++=s
a ^at++++=a
security ^nn+nom+++=security
camera ^nn++++=camera?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
a ^at++++=a
will ^md+prd+++=will?
? ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
Wil ^vb+++??+=Wil
want ^vb++++=want
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
bought ^vbd+++xvbn+=bought
her ^pp$+pp3+++=her
a ^at++++=a
ring ^nn++++=ring?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
devastating ^jj++++=devastating
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
go ^vb++++=go
pfft ^nn+++??+=pfft.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
like ^in++++=like
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
also ^rb++++=also
can ^md+pos+++=can
t ^zz++++=t
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++=he
watched ^vbd+++xvbnx+=watched
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
on ^in++++=on
that ^dt+dem+++=that
couch ^nn++++=couch
and ^cc++++=and
still ^rb++++=still
sits ^vbz++++=sits
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
buddy ^np++++=buddy.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Nirsh ^np+++??+=Nirsh.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
didn ^nn+++??+=didn
t ^zz++++=t
meant ^vbd+vprv+tht0+xvbn+=meant
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
now ^rn+tm+++=now
instead ^rb+cnj+++=instead
of ^in++++=of
idolizing ^xvbg+++xvbg+=idolizing
fictional ^jj+atrb+++=fictional
characters ^nns+nom+++=characters,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
focus ^vb++++=focus
on ^in++++=on
the ^ati++++=the
real ^jj+atrb+++=real
people ^nns++++=people
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
already ^rb++++=already
in ^in++++=in
your ^pp$+pp2+++=your
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
having ^vwbg+hvg++xvbg+=having
a ^at++++=a
rough ^jj+atrb+++=rough
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy
broke ^vbd+++xvbn+=broke
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dvr ^np+++??+=DVR
cut ^vbd+++xvbn+=cut
off ^rb+phrv+++=off
the ^ati++++=the
last ^rb++++=last
minute ^nn++++=minute
of ^in++++=of
Doctor ^nn++++=Doctor
Who ^whp+rel+obj++=Who.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
crow ^nn++++=crow
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
s ^zz++++=s
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
A ^at++++=A
pot ^nn++++=pot
of ^in++++=of
oatmeal ^nn++++=oatmeal?
