Coming ^vbg+++xvbg+=Coming.
about ^in++++=about
Priya ^np+++??+=Priya?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
gross ^jj++++=gross.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
good ^jj++++=good
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
So ^ql++++=So
sleep ^vb++++=sleep
with ^in++++=with
the ^ati++++=the
new ^jj+atrb+++=new
girl ^nn++++=girl
and ^cc++++=and
lie ^nn++++=lie
to ^in++++=to
Priya ^np+++??+=Priya.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
break ^vb++++=break
it ^pp3+it+++=it
off ^rp+pl+++=off
with ^in++++=with
the ^ati++++=the
new ^jj+atrb+++=new
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
like ^in++++=like
this ^dt+dem+++=this
girl ^nn++++=girl
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
don ^npt++++=don
t ^zz++++=t
you ^pp2+pp2+++=you
just ^rb+emph+++=just
end ^nn++++=end
things ^nns++++=things
with ^in++++=with
Priya ^np+++??+=Priya?
? ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
re ^in++++=re
looking ^nn++++=looking
for ^in++++=for
a ^at++++=a
way ^nn++++=way
to ^to++++=to
sleep ^vbi++++=sleep
with ^in++++=with
both ^abx++++=both
women ^nns++++=women
and ^cc++++=and
have ^vb+hv+aux++=have
everybody ^pn++++=everybody
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
does ^vbz+doz+aux++=does
your ^pp$+pp2+++=your
gut ^vb++++=gut
tell ^vb++++=tell
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
Bernadette ^np+nom++??+=Bernadette,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
goes ^vbz++++=goes
the ^ati++++=the
hunt ^nn++++=hunt
for ^in++++=for
bridesmaid ^nn+++??+=bridesmaid
dresses ^nns+nom+++=dresses?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cap ^nn++++=cap
sleeves ^nns++++=sleeves?
? ^zz++++=EXTRAWORD
U ^zz++++=U-u-uh.
- ^zz++++=EXTRAWORD
u ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
uh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
time ^nn++++=time
you ^pp2+pp2+++=you
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
wants ^vbz++++=wants
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
my ^pp$+pp1+++=my
apartment ^nn+nom+++=apartment
and ^cc++++=and
look ^vb++++=look
at ^rb++++=at
bridal ^jj+atrb+++=bridal
magazines ^nns++++=magazines?
? ^zz++++=EXTRAWORD
Through ^in++++=Through
no ^at++++=no
one ^cd1++++=one
s ^zz++++=s
fault ^npl++++=fault,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
re ^in++++=re
leaving ^xvbg+++xvbg+=leaving.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
s ^zz++++=s
Sheldon ^np++++=Sheldon?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
her ^pp3o+pp3+++=her
first ^od++++=first
time ^nn++++=time
being ^vwbg+beg++xvbg+=being
a ^at++++=a
bridesmaid ^nn+++??+=bridesmaid
and ^cc++++=and
she ^pp3a+pp3+++=she
s ^zz++++=s
just ^rb+emph+++=just
getting ^vbg+++xvbg+=getting
a ^rb++++=a
little ^rb"++++=little
crazy ^jj++++=crazy
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
keeps ^vbz++++=keeps
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
figure ^vbi++++=figure
out ^rp+pl+++=out
if ^cs+cnd+++=if
our ^pp$+pp1+++=our
cycles ^nns++++=cycles
have ^vb+hv+aux++=have
synced ^vprf+++xvbnx+=synced
up ^rp++++=up
so ^ql++++=so
we ^pp1a+pp1+++=we
can ^md+pos+++=can
call ^vb++++=call
ourselves ^ppls+pp1+++=ourselves
the ^ati++++=the
Three ^cd++++=Three
Menstra ^np+++??+=Menstra-teers
- ^zz++++=EXTRAWORD
teers ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ll ^nn+++??+=ll
talk ^nn++++=talk
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
wait ^vb++++=wait,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
did ^vbd+dod+vrb++=did
she ^pp3a+pp3+++=she
find ^vb+vprv+++=find
out ^rp+pl+++=out?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
tell ^vb++++=tell
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
All ^abn++++=All
your ^pp$+pp2+++=your
little ^jj+atrb+++=little
secrets ^nns++++=secrets
are ^vb+ber+vrb++=are
fine ^jj+pred+++=fine.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
just ^rb+emph+++=just
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
apologize ^vbi++++=apologize
for ^in++++=for
not ^xnot++not++=not
bringing ^vbg+++xvbg+=bringing
you ^pp2+pp2+++=you
with ^in++++=with
us ^pp1o+pp1+++=us
the ^ati++++=the
other ^ap++++=other
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy,
, ^zz++++=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
make ^vb++++=make
it ^pp3+it+++=it
up ^in+cmpx+++=up
to ^in"++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ll ^nn+++??+=ll
have ^vb+hv+vrb++=have
a ^at++++=a
girl ^nn++++=girl
s ^zz++++=s
night ^nn++++=night,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ll ^nn+++??+=ll
do ^vb+do+vrb++=do
whatever ^nn+nom+++=whatever
you ^pp2+pp2+++=you
want ^vb++++=want.
. ^zz++++=EXTRAWORD
With ^in++++=With-with
- ^zz++++=EXTRAWORD
with ^in++++=EXTRAWORD
loofah ^nn+++??+=loofah
mitts ^nns++++=mitts,
, ^zz++++=EXTRAWORD
no ^at++++=no
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
feel ^vb+vprv+++=feel
awful ^jj++++=awful.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
really ^rb+emph+++=really
want ^vb++++=want
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
gave ^vbd+++xvbn+=gave
you ^pp2+pp2+++=you
a ^at++++=a
friendship ^nn+nom+++=friendship
bracelet ^nn+nom+++=bracelet.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made
that ^dt+dem+++=that
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
have ^vbi++vrb++=have
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
of ^in++++=of
some ^dti++++=some
way ^nn++++=way
to ^to++++=to
show ^vbi+vprv+tht0++=show
you ^pp2+pp2+++=you
how ^wrb+who+++=how
much ^rb++++=much
we ^pp1a+pp1+++=we
care ^nn++++=care
about ^in++++=about
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure.
. ^zz++++=EXTRAWORD
Vegas ^np++++=Vegas
is ^vbz+bez+vrb++=is
fun ^nn++++=fun,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
Bernadette ^np+nom++??+=Bernadette,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
look ^vb++++=look
beautiful ^jj++++=beautiful!
! ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
a ^at++++=a
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy!
! ^zz++++=EXTRAWORD
Get ^vb++++=Get
the ^ati++++=the
hell ^nn++++=hell
out ^rp+pl+++=out
of ^in++++=of
here ^rn+pl+++=here!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
God ^np++++=God.
. ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy!
! ^zz++++=EXTRAWORD
Hey ^uh++++=Hey.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
got ^vbd+++xvbn+=got
eight ^cd++++=eight
pounds ^nns++++=pounds
of ^in++++=of
salmon ^nn++++=salmon
that ^tht+rel+++=that
s ^zz++++=s
about ^md"++pmd"++=about
to ^md+prd+++=to
go ^vb++++=go
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
cook ^vbi++++=cook
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Damn ^vb++++=Damn
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
have ^vb+hv+aux++=have
liberated ^vprf+++xvbnx+=liberated
the ^ati++++=the
iffy ^vb++++=iffy
chicken ^nn++++=chicken.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
and ^cc++++=and
Professor ^npt++++=Professor
Fussyface ^np+++??+=Fussyface
up ^in+cmpx+++=up
to ^in++++=to
tonight ^nr+tm+++=tonight?
? ^zz++++=EXTRAWORD
Haven ^npl++++=Haven
t ^zz++++=t
you ^pp2+pp2+++=you
seen ^vbd+vprv++xvbn+=seen
that ^tht+vcmp+++=that
movie ^nn++++=movie,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
a ^at++++=a
thousand ^cd++++=thousand
times ^nns++++=times?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
going ^md"++pmd"++=going
to ^md+prd+++=to
take ^vb++++=take
myself ^ppl+pp1+++=myself
out ^rp+pl+++=out
to ^in++++=to
a ^at++++=a
movie ^nn++++=movie
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
not ^xnot++not++=not
a ^at++++=a
date ^nn++++=date,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
just ^rb+emph+++=just
a ^at++++=a
man ^nn++++=man
and ^cc++++=and
a ^at++++=a
woman ^nn++++=woman
hanging ^vwbg+++xvbg+=hanging
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
having ^vbg+hvg++xvbg+=having
sex ^nn++++=sex
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that
about ^rp++++=about?
? ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
On ^in++++=On
top ^nn++++=top
of ^in++++=of
everything ^pn++++=everything
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
re ^in++++=re
afraid ^nn++++=afraid
of ^in++++=of
birds ^nns++++=birds?
? ^zz++++=EXTRAWORD
So ^ql++++=So
movies ^nns++++=movies,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes
or ^cc++++=or
no ^at++++=no?
? ^zz++++=EXTRAWORD
Great ^jj++++=Great.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
more ^rbr++++=more
afraid ^jj++++=afraid
of ^in++++=of
you ^pp2+pp2+++=you
than ^in++++=than
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
to ^in++++=to
the ^ati++++=the
bird ^nn++++=bird.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
hey ^uh++++=hey,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
hurry ^np++++=hurry,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
make ^vb++++=make
the ^ati++++=the
new ^jj+atrb+++=new
Jennifer ^np+nom+++=Jennifer
Aniston ^np+++??+=Aniston
movie ^nn++++=movie.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Jennifer ^np+nom+++=Jennifer
Aniston ^np+++??+=Aniston
movie ^nn++++=movie
has ^vbz+hvz+vrb++=has
Jennifer ^np+nom+++=Jennifer
Aniston ^np+++??+=Aniston,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
s ^zz++++=s
not ^xnot++not++=not
building ^nvbg+++xvbg+=building
a ^at++++=a
dam ^nn++++=dam.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
pick ^vb++++=pick
plenty ^nn++++=plenty
of ^in++++=of
movies ^nns++++=movies.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
come ^vprf+++xvbn+=come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
movie ^nn++++=movie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
starts ^vbz++++=starts
in ^in++++=in
ten ^cd++++=ten
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
so ^ql++++=so
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
often ^rb++++=often
would ^md+prd+++=would
you ^pp2+pp2+++=you
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
like ^vbi++++=like
things ^nns++++=things
just ^rb+emph+++=just
to ^in++++=to
have ^vbi++vrb++=have
sex ^nn++++=sex
with ^in++++=with
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
kidding ^nn++++=kidding.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
get ^vb++++=get
sex ^nn++++=sex
anyway ^rb++++=anyway.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
No ^at++++=No
woman ^nn++++=woman
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
how ^wrb+who+++=how
come ^vprf+++xvbn+=come
they ^pp3a+pp3+++=they
get ^vb++++=get
to ^to+vcmp+++=to
leave ^vbi++++=leave
and ^cc++++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
t ^zz++++=t.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=thanks.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
eat ^vb++++=eat
the ^ati++++=the
little ^ap++++=little
crispy ^nn+++??+=crispy
ones ^cd1s++++=ones
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
To ^to++++=To
get ^vbi++++=get
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
like ^in++++=like
an ^at++++=an
order ^nn++++=order
of ^in++++=of
fries ^nns++++=fries.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
you ^pp2+pp2+++=you
writing ^vbg+++xvbg+=writing
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
Hope ^nn++++=Hope
Alex ^np++++=Alex
Gets ^vbz++++=Gets
Crabs ^np+++??+=Crabs
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Penny ^nn++++=Penny.
. ^zz++++=EXTRAWORD
Nice ^jj++++=Nice
to ^to+jcmp+++=to
meet ^vbi++++=meet
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
isn ^nn+++??+=isn
t ^zz++++=t
a ^at++++=a
date ^nn++++=date,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right?
? ^zz++++=EXTRAWORD
So ^ql++++=So
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
written ^vbd+++xvbn+=written
anything ^pn++++=anything
I ^pp1a+pp1+++=I
might ^md+pos+++=might
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen?
? ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
amazing ^jj+atrb+++=amazing
documentary ^nn+nom+++=documentary.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
need ^vb++++=need
the ^ati++++=the
electricity ^nn+nom+++=electricity
from ^in++++=from
the ^ati++++=the
dam ^nn++++=dam,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
they ^pp3a+pp3+++=they
want ^vb++++=want
to ^to+vcmp+++=to
preserve ^vbi++++=preserve
the ^ati++++=the
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
one ^cd1++++=one
sec ^nnu++++=sec?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
up ^rp++++=up?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
am ^vb+bem+aux++=am
I ^pp1a+pp1+++=I
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
talking ^vwbg+++xvbg+=talking
to ^in++++=to
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
s ^zz++++=s
cute ^jj++++=cute.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
dorky ^nn+++??+=dorky
T ^zz++++=T-shirt
- ^zz++++=EXTRAWORD
shirt ^nn++++=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
hipster ^nn+nom+++=hipster
glasses ^nns++++=glasses.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
you ^pp2+pp2+++=you
re ^in++++=re
tall ^jj++++=tall
and ^cc++++=and
have ^vb+hv+vrb++=have
great ^jj+atrb+++=great
cheekbones ^nns++++=cheekbones,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
re ^in++++=re
doing ^xvbg+++xvbg+=doing
it ^pp3+it+++=it
ironically ^rb++++=ironically.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good!
! ^zz++++=EXTRAWORD
Go ^vb++++=Go!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
some ^dti++++=some
girls ^nns++++=girls
right ^jj++++=right
over ^in++++=over
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
waiting ^nvbg+++xvbg+=waiting
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
Hey ^uh++++=Hey.
. ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry
I ^pp1a+pp1+++=I
ditched ^vbd+++xvbnx+=ditched
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
said ^vbd+vpub+tht0+xvbn+=said
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
hang ^vb++++=hang
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
s ^zz++++=s
hang ^nn++++=hang
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
leave ^vb++++=leave.
. ^zz++++=EXTRAWORD
Huh ^uh++++=Huh?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
get ^vb++++=get
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
